add-yield-m,4,80,640,1231235,1923,0
add-yield-m,4,100,800,1676963,2096,0
add-yield-m,4,1000,8000,18900575,2362,0
add-yield-m,4,10000,80000,185304520,2316,0
add-yield-m,4,100000,800000,1737851574,2172,0
add-yield-m,8,10,160,520008,3250,0
add-yield-m,8,20,320,1134249,3544,0
add-yield-m,8,40,640,3025464,4727,0
add-yield-m,8,80,1280,8107318,6333,0
add-yield-m,8,100,1600,10327025,6454,0
add-yield-m,8,1000,16000,105895056,6618,0
add-yield-m,8,10000,160000,990021548,6187,0
add-yield-m,8,100000,1600000,10549174894,6593,0
add-yield-m,12,10,240,1816123,7567,0
add-yield-m,12,20,480,3789483,7894,0
add-yield-m,12,40,960,10077910,10497,0
add-yield-m,12,80,1920,17670566,9203,0
add-yield-m,12,100,2400,24524169,10218,0
add-yield-m,12,1000,24000,264291164,11012,0
add-yield-m,12,10000,240000,2588315658,10784,0
add-yield-m,12,100000,2400000,25295081698,10539,0
add-s,1,10,20,154910,7745,0
add-s,1,20,40,144745,3618,0
add-s,1,40,80,126254,1578,0
add-s,1,80,160,163350,1020,0
add-s,1,100,200,162877,814,0
add-s,1,1000,2000,180303,90,0
add-s,1,10000,20000,426638,21,0
add-s,1,100000,200000,3010274,15,0
add-s,2,10,40,200356,5008,0
add-s,2,20,80,258718,3233,0
add-s,2,40,160,241846,1511,0
add-s,2,80,320,393425,1229,0
add-s,2,100,400,267058,667,0
add-s,2,1000,4000,1427718,356,0
add-s,2,10000,40000,11419404,285,0
add-s,2,100000,400000,118581231,296,0
add-s,4,10,80,304502,3806,0
add-s,4,20,160,415389,2596,0
add-s,4,40,320,427838,1336,0
add-s,4,80,640,443173,692,0
add-s,4,100,800,980038,1225,0
add-s,4,1000,8000,8153738,1019,0
add-s,4,10000,80000,125006421,1562,0
add-s,4,100000,800000,1302331966,1627,0
add-s,8,10,160,2055139,12844,0
add-s,8,20,320,514251,1607,0
add-s,8,40,640,583585,911,0
add-s,8,80,1280,597367,466,0
add-s,8,100,1600,739573,462,0
add-s,8,1000,16000,85216781,5326,0
